"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8";"C_0504_1310Metric";1;"1pF";;;
2;"D1,D2";"D_1206_3216Metric";2;"D_Schottky";;;
3;"C10,C12";"C_0504_1310Metric";2;"1uF";;;
4;"J1";"Molex_PicoBlade_53048-0510_1x05_P1.25mm_Horizontal";1;"530480510";;;
5;"C7,C6";"C_0504_1310Metric";2;"22pF";;;
6;"J3";"CONN16_USB4085-GF-A_GCT";1;"USB4085-GF-A_REVB";;;
7;"R1,R6,R2";"R_0603_1608Metric";3;"5K1";;;
8;"R8";"R_0603_1608Metric";1;"65";;;
9;"C5,C1,C3,C2";"C_0504_1310Metric";4;"100nF,24V+";;;
10;"U1";"TO-252-3_TabPin2";1;"BD33FC0FP-E2";;;
11;"SOFT1,SET1";"TS016673BK160D";2;"TS01-66-73-BK-160-D";;;
12;"J2";"Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal";1;"530480410";;;
13;"R7";"R_0603_1608Metric";1;"680K";;;
14;"IC1";"TSSOP-16_4.4x5mm_P0.65mm";1;"MAX3323EEPE+";;;
15;"R3";"R_0603_1608Metric";1;"4K7";;;
16;"J13";"HRS_FH34SRJ-16S-0.5SH_50_";1;"FH34SRJ-16S-0.5SH_50_";;;
17;"U3";"TQFP-48_7x7mm_P0.5mm";1;"ATSAMD21G18A-AUT";;;
18;"C11,C9";"C_0504_1310Metric";2;"10uF";;;
19;"U2";"TSOT-23-5";1;"ADR02AUJZ-REEL7";;;
20;"C13,C4";"C_0504_1310Metric";2;"20uF,60V+";;;
21;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768, 12.5pF";;;
22;"D4";"LED_0805_2012Metric";1;"LED";;;
23;"R5";"R_0603_1608Metric";1;"3K3";;;
24;"RESET1";"SW_SPST_B3U-3000P";1;"B3U-1000P";;;
